Image, mV, nW, bps, GSR, valence, arousal
Faces_134_h,509.00772516586386,0.0,0.0,446.3805325820231,7.43,5.68
Animals_035_h,509.63823983998543,0.0,0.0,434.42703882171105,5.08,6.13
People_208_h,509.0110868774991,0.0,0.0,502.0166303162486,1.85,7.67
Objects_160_h,509.59985449254276,0.0,0.0,517.232993815933,5.41,5.73
Landscapes_103_v,509.6669695592912,0.0,0.0,503.5388459791004,7.83,2.43
Animals_056_h,509.2107558139535,0.0,0.0,511.7132085755814,1.86,7.5
Animals_090_h,509.5504503684833,0.0,0.0,485.2288235829315,7.44,2.94
Animals_020_h,509.2225756611833,0.0,0.0,480.91475052258477,5.34,6.43
Landscapes_104_h,509.7585015457356,0.0,0.0,508.8280596472086,7.2,2.8
Faces_159_h,508.84628670120895,0.0,0.0,468.3956913007908,1.93,7.37
Landscapes_049_h,509.3379656719329,0.0,0.0,503.2420762629218,7.24,2.88
People_211_v,509.9352812670672,0.0,0.0,493.5863826688513,1.88,7.63
Objects_146_h,509.0830150936534,0.0,0.0,491.83315148208766,4.48,4.88
Landscapes_061_h,509.732,0.0,0.0,453.8697272727273,4.98,4.59
Faces_202_v,509.2797164667394,0.0,0.0,506.2686295892403,4.56,4.85
Faces_149_v,509.46842344388915,0.0,0.0,536.9243980009087,2.3,7.61
Objects_132_h,509.0944889050564,0.0,0.0,506.07439068752274,2.88,6.76
Objects_001_h,509.79560119967283,0.0,0.0,514.8428610378987,2.72,7.15
Objects_046_h,509.1059476173154,0.0,0.0,487.9757184430702,5.14,5.71
People_110_h,509.33403017633157,0.0,0.0,578.477004181058,8.11,2.68
People_198_h,509.505498500409,0.0,0.0,559.5474870489867,1.58,7.56
Objects_014_h,509.9082810653577,0.0,0.0,555.4343241523497,5.12,5.73
Landscapes_120_v,508.94262071474037,0.0,0.0,534.7362917159226,8.31,2.4
Objects_186_v,509.3451536643026,0.0,0.0,521.0072740498273,4.55,4.83
People_127_h,509.49927299163943,0.0,0.0,513.5970556161396,2.15,7.62
Landscapes_123_h,509.2952995726884,0.0,0.0,518.104736794254,8.15,2.11
People_201_v,509.49568299554664,0.0,0.0,538.9143869853676,1.87,7.51
People_028_h,509.24663636363636,0.0,0.0,529.288,5.48,6.54
Faces_008_h,509.36750975981755,0.0,0.0,750.7890192018165,5.21,6.0
People_208_h,509.09998129442573,0.0,0.0,982.1298166853722,1.85,7.67
Animals_090_h,509.25861585878397,0.0,0.0,968.1103950686467,7.44,2.94
People_130_h,509.4607168079096,0.0,0.0,958.6655190677966,7.17,5.74
Landscapes_054_h,509.216752456715,0.0,0.0,968.4740290126346,7.6,2.94
Animals_056_h,509.31563235028045,0.0,0.0,970.155418852904,1.86,7.5
People_038_h,509.4000554733728,0.0,0.0,975.9537721893491,1.73,8.5
Animals_035_h,509.4881017257039,0.0,0.0,968.2177111716621,5.08,6.13
Landscapes_049_h,509.21533012442103,0.0,0.0,965.8853873399328,7.24,2.88
Landscapes_050_h,509.38353924418607,0.0,0.0,971.6465297965116,6.87,2.98
Animals_020_h,509.3264211005002,0.0,0.0,967.4197362437471,5.34,6.43
Faces_234_h,509.3533037251881,0.0,0.0,962.0074322487084,7.37,5.76
Faces_134_h,509.06919422783903,0.0,0.0,974.391054943085,7.43,5.68
Landscapes_104_h,509.8971064065822,0.0,0.0,959.1985763150597,7.2,2.8
Landscapes_067_h,509.3244530698659,0.0,0.0,951.9948835568101,4.98,4.76
Landscapes_097_v,509.01881141787555,0.0,0.0,966.6418343472158,7.6,2.71
Objects_160_h,509.2976320582878,0.0,0.0,981.3032786885246,5.41,5.73
Faces_159_h,509.4187227866473,0.0,0.0,981.5896226415094,1.93,7.37
Landscapes_103_v,509.35228077026335,0.0,0.0,1001.2154589607791,7.83,2.43
Objects_146_h,509.0558926587471,0.0,0.0,1019.7218186479788,4.48,4.88
People_110_h,509.3848982154067,0.0,0.0,1007.6263115415658,8.11,2.68
People_211_v,509.32447386621874,0.0,0.0,999.0809208576228,1.88,7.63
Faces_202_v,509.2633458311016,0.0,0.0,977.4275129441171,4.56,4.85
